playerName,playerId,teamId,h_a,x,y,minute,second,type,period
Érik Lira,447638,972,h,26.7,62.1,16,10.0,Pass,FirstHalf
Jesús Gallardo,252248,972,h,48.7,89.5,16,18.0,Pass,FirstHalf
Raúl Jiménez,108186,972,h,52.7,95.4,16,19.0,Pass,FirstHalf
Luis Romo,447635,972,h,40.0,84.2,16,22.0,Pass,FirstHalf
Edson Álvarez,322696,972,h,38.0,42.7,16,26.0,Pass,FirstHalf
Roberto Alvarado,447636,972,h,56.4,5.6,16,32.0,Pass,FirstHalf
Érik Lira,447638,972,h,54.4,11.1,16,35.0,OffsidePass,FirstHalf
Kim Seung-Gyu,71968,1159,a,21.5,79.1,17,1.0,Pass,FirstHalf
Son Heung-Min,91909,1159,a,77.9,86.9,17,7.0,BallTouch,FirstHalf
Lee Jae-Sung,142959,1159,a,67.7,95.9,17,8.0,Pass,FirstHalf
Paik Seung-Ho,362786,1159,a,67.3,87.9,17,10.0,TakeOn,FirstHalf
Érik Lira,447638,972,h,32.7,12.1,17,10.0,Tackle,FirstHalf
Paik Seung-Ho,362786,1159,a,65.0,94.8,17,12.0,Pass,FirstHalf
Son Heung-Min,91909,1159,a,71.1,95.4,17,14.0,Pass,FirstHalf
Luis Romo,447635,972,h,26.1,26.8,17,17.0,Pass,FirstHalf
Érik Lira,447638,972,h,30.6,31.0,17,22.0,Pass,FirstHalf
Luis Romo,447635,972,h,34.0,42.7,17,24.0,Pass,FirstHalf
Edson Álvarez,322696,972,h,25.1,33.3,17,26.0,Pass,FirstHalf
Johan Vásquez,425115,972,h,31.0,73.3,17,30.0,Pass,FirstHalf
Julián Quiñones,509557,972,h,36.2,79.6,17,33.0,Foul,FirstHalf
Luis Romo,447635,972,h,40.7,64.2,17,46.0,Pass,FirstHalf
Johan Vásquez,425115,972,h,34.0,63.7,17,47.0,Pass,FirstHalf
Edson Álvarez,322696,972,h,33.3,36.9,17,53.0,Pass,FirstHalf
Jorge Sánchez,447643,972,h,32.2,18.2,17,55.0,Pass,FirstHalf
Edson Álvarez,322696,972,h,29.9,44.2,17,57.0,Pass,FirstHalf
Johan Vásquez,425115,972,h,23.2,64.5,17,59.0,Pass,FirstHalf
Raúl Rangel,527319,972,h,3.0,40.1,18,2.0,Pass,FirstHalf
Lee Gi-Hyuk,447593,1159,a,44.3,68.2,18,9.0,Pass,FirstHalf
Roberto Alvarado,447636,972,h,58.2,13.0,18,9.0,Dispossessed,FirstHalf
Lee Jae-Sung,142959,1159,a,41.8,87.0,18,9.0,Tackle,FirstHalf
Seol Young-Woo,477549,1159,a,33.5,86.4,18,12.0,Pass,FirstHalf
Paik Seung-Ho,362786,1159,a,39.0,75.0,18,14.0,Pass,FirstHalf
Seol Young-Woo,477549,1159,a,32.9,95.3,18,16.0,Pass,FirstHalf
Paik Seung-Ho,362786,1159,a,38.0,82.2,18,18.0,Pass,FirstHalf
Seol Young-Woo,477549,1159,a,32.6,93.2,18,19.0,Pass,FirstHalf
Lee Gi-Hyuk,447593,1159,a,27.0,94.4,18,21.0,Pass,FirstHalf
Edson Álvarez,322696,972,h,43.3,6.7,18,22.0,Pass,FirstHalf
Hwang In-Beom,371030,1159,a,40.5,65.1,18,24.0,Pass,FirstHalf
Lee Kang-In,367780,1159,a,63.3,69.6,18,28.0,Pass,FirstHalf
Lee Jae-Sung,142959,1159,a,53.4,72.3,18,30.0,Pass,FirstHalf
Lee Han-Beom,531031,1159,a,30.9,25.6,18,32.0,Pass,FirstHalf
Kim Moon-Hwan,414214,1159,a,34.3,13.0,18,33.0,Pass,FirstHalf
Kim Min-Jae,370912,1159,a,6.2,5.2,18,40.0,Pass,FirstHalf
Luis Romo,447635,972,h,62.7,78.4,18,43.0,BallTouch,FirstHalf
Paik Seung-Ho,362786,1159,a,33.7,32.2,18,44.0,Pass,FirstHalf
Lee Jae-Sung,142959,1159,a,42.3,13.6,18,46.0,Pass,FirstHalf
Hwang In-Beom,371030,1159,a,38.2,20.9,18,47.0,Pass,FirstHalf
Kim Moon-Hwan,414214,1159,a,39.5,5.6,18,50.0,Pass,FirstHalf
Hwang In-Beom,371030,1159,a,40.4,12.7,18,51.0,Pass,FirstHalf
Lee Jae-Sung,142959,1159,a,43.2,9.3,18,53.0,Dispossessed,FirstHalf
Érik Lira,447638,972,h,56.8,90.7,18,53.0,Tackle,FirstHalf
Lee Jae-Sung,142959,1159,a,45.8,8.3,18,55.0,BallTouch,FirstHalf
Érik Lira,447638,972,h,58.2,86.8,18,55.0,Pass,FirstHalf
Johan Vásquez,425115,972,h,45.1,80.6,18,57.0,Pass,FirstHalf
Érik Lira,447638,972,h,49.7,62.2,19,2.0,Pass,FirstHalf
Edson Álvarez,322696,972,h,46.3,34.8,19,7.0,Pass,FirstHalf
Jorge Sánchez,447643,972,h,61.2,12.9,19,8.0,Pass,FirstHalf
Roberto Alvarado,447636,972,h,69.9,8.5,19,13.0,TakeOn,FirstHalf
Roberto Alvarado,447636,972,h,76.0,12.8,19,14.0,Pass,FirstHalf
Julián Quiñones,509557,972,h,90.0,47.9,19,16.0,SavedShot,FirstHalf
Kim Seung-Gyu,71968,1159,a,1.1,50.0,19,16.0,Save,FirstHalf
Kim Seung-Gyu,71968,1159,a,8.9,50.7,19,28.0,Pass,FirstHalf
Lee Han-Beom,531031,1159,a,14.0,24.7,19,31.0,Pass,FirstHalf
Kim Moon-Hwan,414214,1159,a,23.0,9.2,19,33.0,Pass,FirstHalf
Lee Han-Beom,531031,1159,a,12.6,4.7,19,34.0,Pass,FirstHalf
Edson Álvarez,322696,972,h,45.7,50.7,19,41.0,Pass,FirstHalf
Johan Vásquez,425115,972,h,43.2,69.7,19,44.0,Pass,FirstHalf
Edson Álvarez,322696,972,h,43.0,44.8,19,46.0,Pass,FirstHalf
Jorge Sánchez,447643,972,h,58.3,11.0,19,51.0,Pass,FirstHalf
Edson Álvarez,322696,972,h,45.1,29.5,19,57.0,Pass,FirstHalf
Johan Vásquez,425115,972,h,37.2,53.7,19,59.0,Pass,FirstHalf
Jesús Gallardo,252248,972,h,37.5,80.8,20,3.0,Pass,FirstHalf
Johan Vásquez,425115,972,h,12.8,61.1,20,9.0,Pass,FirstHalf
Edson Álvarez,322696,972,h,27.0,29.2,20,15.0,Pass,FirstHalf
Érik Lira,447638,972,h,39.1,28.2,20,16.0,Pass,FirstHalf
Jorge Sánchez,447643,972,h,44.2,8.6,20,18.0,BallTouch,FirstHalf
Seol Young-Woo,477549,1159,a,48.0,100.0,20,50.0,Pass,FirstHalf
Lee Jae-Sung,142959,1159,a,42.5,82.4,20,52.0,Pass,FirstHalf
Raúl Jiménez,108186,972,h,57.1,14.7,20,53.0,BallTouch,FirstHalf
Seol Young-Woo,477549,1159,a,57.3,96.0,20,54.0,Pass,FirstHalf
Jorge Sánchez,447643,972,h,26.3,0.0,21,4.0,Pass,FirstHalf
Edson Álvarez,322696,972,h,28.1,48.7,21,13.0,Pass,FirstHalf
Johan Vásquez,425115,972,h,23.2,72.7,21,17.0,Pass,FirstHalf
Raúl Rangel,527319,972,h,10.2,44.6,21,24.0,Pass,FirstHalf
